vector_id,family,amounts,N,S,pairing,warmup_rounds,hhi,one_minus_hhi,pairwise_sum,gini,max_share,entropy,sims,absorbed_count,censored_count,censored_fraction,mean_observed_time,median_observed_time,p90_observed_time,p99_observed_time,mean_absorption_time_absorbed_only,median_absorption_time_absorbed_only,p90_absorption_time_absorbed_only
0,equal,14 14 13 13 13 13,6,80,random,3,0.166875,0.833125,2666.0,0.016666666666666607,0.175,1.7911394869585422,50,50,0,0.0,2138.6,1644.0,3794.7000000000007,5872.469999999999,2138.6,1644.0,3794.7000000000007
1,linear_descending_p0.50,18 16 15 13 10 8,6,80,random,3,0.1778125,0.8221875,2631.0,0.14583333333333326,0.225,1.7568442706128848,50,50,0,0.0,2781.6,2481.5,4808.1,8057.369999999999,2781.6,2481.5,4808.1
2,linear_descending_p1.33,25 20 15 10 7 3,6,80,random,3,0.22,0.78,2496.0,0.3208333333333333,0.3125,1.620147222815757,50,50,0,0.0,1937.28,1638.5,3160.7000000000003,5872.2899999999945,1937.28,1638.5,3160.7000000000003
3,linear_descending_p2.17,31 21 14 8 4 2,6,80,random,3,0.2628125,0.7371875,2359.0,0.42083333333333317,0.3875,1.495746868612842,50,50,0,0.0,1762.92,1501.0,3143.5000000000005,5082.339999999998,1762.92,1501.0,3143.5000000000005
4,linear_descending_p3.00,37 22 12 6 2 1,6,80,random,3,0.31843750000000004,0.6815625,2181.0,0.5125,0.4625,1.337493788228088,50,50,0,0.0,2094.42,1686.0,3786.3000000000006,6986.86,2094.42,1686.0,3786.3000000000006
5,geometric_r0.55,35 20 11 7 4 3,6,80,random,3,0.284375,0.715625,2290.0,0.44166666666666665,0.4375,1.4671383724506009,50,50,0,0.0,1788.84,1523.5,3297.0,5209.719999999996,1788.84,1523.5,3297.0
6,geometric_r0.67,28 19 13 9 6 5,6,80,random,3,0.22749999999999998,0.7725,2472.0,0.3291666666666666,0.35,1.6174869333034707,50,50,0,0.0,2354.46,1868.0,4259.5,5497.0199999999995,2354.46,1868.0,4259.5
7,geometric_r0.78,22 17 14 11 9 7,6,80,random,3,0.19062500000000002,0.809375,2590.0,0.2124999999999999,0.275,1.7209315887032879,50,50,0,0.0,2180.64,1597.0,3781.6000000000017,6139.23,2180.64,1597.0,3781.6000000000017
8,geometric_r0.90,17 15 14 13 11 10,6,80,random,3,0.171875,0.828125,2650.0,0.09999999999999987,0.2125,1.7760363464510698,50,50,0,0.0,2124.3,1787.0,3589.7000000000003,6604.779999999997,2124.3,1787.0,3589.7000000000003
9,one_whale_s0.30,23 12 12 11 11 11,6,80,random,3,0.184375,0.815625,2610.0,0.1333333333333333,0.2875,1.7459682526285232,50,50,0,0.0,2608.8,2140.5,4704.200000000001,6790.189999999995,2608.8,2140.5,4704.200000000001
10,one_whale_s0.45,35 9 9 9 9 9,6,80,random,3,0.2546875,0.7453125,2385.0,0.27083333333333326,0.4375,1.5906230330206395,50,50,0,0.0,2005.32,1718.0,4224.1,5982.429999999998,2005.32,1718.0,4224.1
11,one_whale_s0.60,45 7 7 7 7 7,6,80,random,3,0.3546874999999999,0.6453125000000002,2065.0,0.39583333333333326,0.5625,1.3894432939663768,50,50,0,0.0,1858.66,1423.0,3202.8,6344.219999999999,1858.66,1423.0,3202.8
12,one_whale_s0.75,56 5 5 5 5 4,6,80,random,3,0.5081249999999999,0.49187500000000006,1574.0,0.5416666666666665,0.7,1.0926062549947577,50,50,0,0.0,1768.9,1238.5,3186.000000000001,8009.11,1768.9,1238.5,3186.000000000001
13,two_whales_s0.35,16 13 13 13 13 12,6,80,random,3,0.16812500000000002,0.8318749999999999,2662.0,0.04166666666666652,0.2,1.7875558104077263,50,50,0,0.0,2234.76,1940.0,3479.7,5270.389999999998,2234.76,1940.0,3479.7
14,two_whales_s0.48,22 16 11 11 10 10,6,80,random,3,0.18468750000000003,0.8153125,2609.0,0.16249999999999987,0.275,1.7424047422843254,50,50,0,0.0,2303.68,1828.0,4417.5,7986.009999999997,2303.68,1828.0,4417.5
15,two_whales_s0.62,28 20 8 8 8 8,6,80,random,3,0.22500000000000003,0.7749999999999999,2480.0,0.2833333333333332,0.35,1.635045371052128,50,50,0,0.0,2354.38,2090.0,3795.2000000000003,7961.509999999995,2354.38,2090.0,3795.2000000000003
16,two_whales_s0.75,33 24 6 6 6 5,6,80,random,3,0.28093749999999995,0.7190625,2301.0,0.40416666666666656,0.4125,1.4825653663611311,50,50,0,0.0,2213.48,1901.5,3975.300000000001,6104.009999999999,2213.48,1901.5,3975.300000000001
17,dirichlet_a0.20_d0,71 3 2 2 1 1,6,80,random,3,0.7906249999999999,0.2093750000000001,670.0,0.7416666666666667,0.8875,0.5230429239466627,50,50,0,0.0,485.3,159.5,995.2,4686.239999999992,485.3,159.5,995.2
18,dirichlet_a0.20_d1,58 10 9 1 1 1,6,80,random,3,0.554375,0.44562500000000005,1426.0,0.6666666666666665,0.725,0.9031945504531471,50,50,0,0.0,1730.18,1227.5,4486.600000000001,5978.14,1730.18,1227.5,4486.600000000001
19,dirichlet_a0.20_d2,74 2 1 1 1 1,6,80,random,3,0.8568749999999999,0.14312500000000006,458.0,0.7666666666666666,0.925,0.3834377439460259,50,50,0,0.0,374.64,57.5,980.5000000000005,3839.6599999999976,374.64,57.5,980.5000000000005
20,dirichlet_a0.20_d3,45 15 12 5 2 1,6,80,random,3,0.37875000000000003,0.62125,1988.0,0.5541666666666667,0.5625,1.2423650249620823,50,50,0,0.0,2076.82,1796.5,4107.8,6076.659999999999,2076.82,1796.5,4107.8
21,dirichlet_a0.58_d0,28 14 13 12 12 1,6,80,random,3,0.22468749999999996,0.7753125000000001,2481.0,0.29583333333333317,0.35,1.59164375790599,50,50,0,0.0,2311.98,1877.5,4434.6,6082.36,2311.98,1877.5,4434.6
22,dirichlet_a0.58_d1,43 15 11 6 4 1,6,80,random,3,0.35125,0.6487499999999999,2076.0,0.5166666666666666,0.5375,1.3192148815240528,50,50,0,0.0,2191.8,1843.0,4486.6,6981.279999999994,2191.8,1843.0,4486.6
23,dirichlet_a0.58_d2,40 15 14 8 2 1,6,80,random,3,0.32656250000000003,0.6734374999999999,2155.0,0.5,0.5,1.3427196285455965,50,50,0,0.0,2093.24,1984.5,3557.0000000000005,5412.959999999999,2093.24,1984.5,3557.0000000000005
24,dirichlet_a0.58_d3,44 23 5 5 2 1,6,80,random,3,0.39375000000000004,0.60625,1940.0,0.5791666666666666,0.55,1.1807593303709463,50,50,0,0.0,1779.66,1464.5,3291.0000000000005,5080.329999999996,1779.66,1464.5,3291.0000000000005
25,dirichlet_a1.71_d0,22 19 14 10 10 5,6,80,random,3,0.1978125,0.8021875,2567.0,0.2416666666666667,0.275,1.6946145269900024,50,50,0,0.0,2067.96,1472.0,3781.0,7414.709999999997,2067.96,1472.0,3781.0
26,dirichlet_a1.71_d1,21 18 18 15 4 4,6,80,random,3,0.2103125,0.7896875,2527.0,0.27083333333333326,0.2625,1.6357833548995555,50,50,0,0.0,2174.38,1846.5,3280.8000000000006,6025.13,2174.38,1846.5,3280.8000000000006
27,dirichlet_a1.71_d2,39 17 7 6 6 5,6,80,random,3,0.3056249999999999,0.6943750000000001,2222.0,0.4249999999999998,0.4875,1.4543615686200535,50,50,0,0.0,1768.28,1552.0,2641.5000000000005,4719.379999999999,1768.28,1552.0,2641.5000000000005
28,dirichlet_a1.71_d3,20 13 13 12 11 11,6,80,random,3,0.17562500000000003,0.824375,2638.0,0.10833333333333317,0.25,1.7673278276226325,50,50,0,0.0,2450.94,2319.0,4068.2000000000003,5093.629999999999,2450.94,2319.0,4068.2000000000003
29,dirichlet_a5.00_d0,24 15 14 13 9 5,6,80,random,3,0.19874999999999998,0.80125,2564.0,0.23749999999999982,0.3,1.6944341351152077,50,50,0,0.0,2210.84,1921.0,3507.500000000001,4839.15,2210.84,1921.0,3507.500000000001
30,dirichlet_a5.00_d1,19 15 13 12 11 10,6,80,random,3,0.17500000000000002,0.825,2640.0,0.12083333333333335,0.2375,1.7678889597254561,50,50,0,0.0,2075.06,1787.0,3591.2000000000007,6843.739999999995,2075.06,1787.0,3591.2000000000007
31,dirichlet_a5.00_d2,22 14 14 11 11 8,6,80,random,3,0.18468750000000003,0.8153125,2609.0,0.17083333333333317,0.275,1.740954540447469,50,50,0,0.0,2229.04,2157.5,3593.2000000000003,5892.109999999999,2229.04,2157.5,3593.2000000000003
32,dirichlet_a5.00_d3,23 14 14 11 9 9,6,80,random,3,0.18812500000000001,0.811875,2598.0,0.18333333333333335,0.2875,1.7328158523184853,50,50,0,0.0,2047.68,1998.0,3133.0,5355.209999999998,2047.68,1998.0,3133.0
