cluster_size,mean_cluster_count,p05_cluster_count,p95_cluster_count
1,1344.2,1302.95,1385.55
2,237.0,216.75,252.5
3,171.9,150.7,185.65
4,97.1,83.15,107.3
5,64.4,55.6,72.64999999999999
6,40.7,33.9,52.849999999999994
7,26.0,19.15,30.549999999999997
8,19.1,12.15,25.549999999999997
9,11.3,5.45,16.549999999999997
10,9.1,5.45,15.649999999999997
11,4.9,1.45,8.199999999999996
12,2.9,0.9,6.099999999999998
13,2.7,0.0,5.649999999999997
14,1.1,0.0,2.649999999999997
15,0.9,0.0,2.549999999999999
16,0.7,0.0,2.0
17,0.4,0.0,2.099999999999998
18,0.4,0.0,1.0
19,0.2,0.0,1.0
20,0.1,0.0,0.5499999999999989
21,0.1,0.0,0.5499999999999989
22,0.2,0.0,1.0
23,0.2,0.0,1.0
