metric,value
rounds,3000
frozen,False
round,3000
active_sites,4036
active_density,0.4036
cluster_count,2063
largest_cluster,23
largest_cluster_fraction,0.005698711595639247
interface_length,11966
total_wealth,250000
max_wealth,183
mean_active_wealth,61.94251734390485
moran_i_wealth,-0.23622509648773374
