round,active_sites,active_density,cluster_count,largest_cluster,largest_cluster_fraction,interface_length,total_wealth,max_wealth,mean_active_wealth,moran_i_wealth
0,10000,1.0,1,10000,1.0,0,250000,85,25.0,-0.00564286881547949
100,9442,0.9442,1,9442,1.0,2155,250000,94,26.477441220080493,-0.11568567886389255
200,8703,0.8703,3,8701,0.999770194185913,4784,250000,94,28.72572676088705,-0.1609100696497085
300,8081,0.8081,24,8057,0.9970300705358248,6752,250000,109,30.936765251825268,-0.1867936554711693
400,7552,0.7552,68,7471,0.9892743644067796,8267,250000,112,33.103813559322035,-0.19981387658149122
500,7145,0.7145,132,6935,0.9706088173547935,9229,250000,123,34.98950314905528,-0.20665350277831848
600,6799,0.6799,214,6371,0.9370495661126637,9993,250000,125,36.770113251948814,-0.20905533521990877
700,6519,0.6519,318,4888,0.7498082527995091,10550,250000,135,38.34944009817457,-0.21174177642113928
800,6248,0.6248,462,2364,0.37836107554417414,10978,250000,129,40.01280409731114,-0.2197719007628773
900,6033,0.6033,594,1488,0.2466434609646942,11247,250000,142,41.43875352229405,-0.22367908507763806
1000,5863,0.5863,714,761,0.12979703223605663,11463,250000,149,42.64028654272557,-0.2261263087983799
1100,5690,0.569,830,338,0.059402460456942,11638,250000,137,43.936731107205624,-0.22431635953962573
1200,5531,0.5531,962,142,0.025673476767311517,11757,250000,138,45.1997830410414,-0.22339065631504637
1300,5399,0.5399,1058,139,0.02574550842748657,11866,250000,140,46.30487127245786,-0.2259636483653006
1400,5246,0.5246,1189,129,0.02459016393442623,11973,250000,150,47.65535646206634,-0.23039302882607957
1500,5123,0.5123,1296,105,0.020495803240288893,12073,250000,154,48.79953152449737,-0.23394059285425228
1600,5018,0.5018,1370,92,0.018333997608609008,12104,250000,159,49.82064567556795,-0.23750620985369353
1700,4910,0.491,1469,70,0.014256619144602852,12151,250000,169,50.91649694501018,-0.2376059889437281
1800,4814,0.4814,1542,70,0.014540922309929373,12167,250000,169,51.931865392604905,-0.2372859012775014
1900,4731,0.4731,1603,58,0.012259564574085818,12189,250000,169,52.8429507503699,-0.23682968845310035
2000,4659,0.4659,1652,38,0.00815625670744795,12179,250000,169,53.659583601631255,-0.23855079376621438
2100,4585,0.4585,1709,37,0.00806979280261723,12177,250000,169,54.525627044711015,-0.23925870360663262
2200,4511,0.4511,1757,37,0.00820217246730215,12163,250000,174,55.42008423852804,-0.239332552621516
2300,4439,0.4439,1815,37,0.008335210633025456,12159,250000,174,56.31899076368551,-0.23913135799665303
2400,4371,0.4371,1853,35,0.008007320979180966,12124,250000,178,57.19514985129261,-0.23828418205530283
2500,4293,0.4293,1901,34,0.00791986955508968,12093,250000,185,58.23433496389471,-0.23755331988187597
2600,4232,0.4232,1938,34,0.008034026465028356,12061,250000,191,59.07372400756144,-0.23634127184256037
2700,4173,0.4173,1984,34,0.008147615624251139,12049,250000,187,59.90893841361131,-0.23807198126805393
2800,4125,0.4125,2016,34,0.008242424242424242,12030,250000,184,60.60606060606061,-0.23673960764445268
2900,4072,0.4072,2046,34,0.008349705304518664,11995,250000,182,61.39489194499018,-0.23602494196228346
3000,4036,0.4036,2063,23,0.005698711595639247,11966,250000,183,61.94251734390485,-0.23622509648773374
