p,sim,local_edges,nonlocal_edges,mean_degree,rounds,absorbed,frozen,capped,local_matches,nonlocal_matches,realized_nonlocal_match_fraction,final_active_density,final_cluster_count,final_largest_cluster_fraction,final_interface_length,winner_site
0.04,0,19800,394,4.0388,18616,False,True,False,1911457,32028,0.016479674399339332,0.2611,2611,0.00038299502106472615,10312,-1
0.04,1,19800,375,4.035,23404,False,True,False,2062208,45153,0.02142632420358923,0.2564,2564,0.000390015600624025,10137,-1
0.04,2,19800,388,4.0376,18418,False,True,False,1939282,39369,0.019896889345316582,0.2588,2588,0.0003863987635239567,10233,-1
0.04,3,19800,398,4.0396,16718,False,True,False,2004751,29023,0.014270513832903755,0.2513,2513,0.0003979307600477517,9926,-1
0.04,4,19800,411,4.0422,24672,False,True,False,1981367,21107,0.010540461449187355,0.2543,2543,0.00039323633503735744,10048,-1
0.04,5,19800,360,4.032,13268,False,True,False,1929490,40623,0.02061962943242342,0.2551,2551,0.0003920031360250882,10093,-1
0.04,6,19800,400,4.04,12504,False,True,False,1924267,45977,0.023335688371592556,0.2574,2574,0.0003885003885003885,10177,-1
0.04,7,19800,406,4.0412,14931,False,True,False,2027106,35033,0.016988670501842988,0.2561,2561,0.0003904724716907458,10117,-1
0.04,8,19800,402,4.0404,12536,False,True,False,1978891,40735,0.02016957595119096,0.2593,2593,0.0003856536829926726,10248,-1
0.04,9,19800,414,4.0428,22533,False,True,False,1989674,42151,0.02074538899757607,0.2594,2594,0.00038550501156515033,10261,-1
0.06,0,19800,605,4.081,10139,False,True,False,1948262,61197,0.030454465604921523,0.2574,2574,0.0003885003885003885,10178,-1
0.06,1,19800,597,4.0794,16449,False,True,False,1971736,56494,0.027853843005970724,0.2543,2543,0.00039323633503735744,10051,-1
0.06,2,19800,658,4.0916,24002,False,True,False,2003155,76056,0.036579260113571925,0.2566,2566,0.0003897116134060795,10136,-1
0.06,3,19800,622,4.0844,15319,False,True,False,1988848,63626,0.03099966187147803,0.2586,2586,0.0003866976024748647,10230,-1
0.06,4,19800,599,4.0798,19642,False,True,False,1997295,60068,0.029196597780751378,0.257,2570,0.0003891050583657588,10155,-1
0.06,5,19800,641,4.0882,16724,False,True,False,2003075,60668,0.029397071243851585,0.2521,2521,0.0003966679888932963,9969,-1
0.06,6,19800,616,4.0832,23758,False,True,False,2025341,47114,0.02273342485120304,0.2586,2586,0.0003866976024748647,10224,-1
0.06,7,19800,578,4.0756,25877,False,True,False,1979204,62430,0.03057844843884849,0.2563,2563,0.0003901677721420211,10124,-1
0.06,8,19800,593,4.0786,18755,False,True,False,2071624,73829,0.03441184682209305,0.2509,2509,0.00039856516540454366,9905,-1
0.06,9,19800,573,4.0746,17210,False,True,False,1999286,78704,0.037875061958912215,0.2562,2562,0.00039032006245121,10131,-1
0.07999999999999999,0,19800,775,4.115,29011,False,True,False,2015312,62318,0.02999475363755818,0.2545,2545,0.0003929273084479371,10052,-1
0.07999999999999999,1,19800,789,4.1178,19514,False,True,False,1986328,76234,0.03696082832903932,0.2533,2533,0.00039478878799842083,10007,-1
0.07999999999999999,2,19800,752,4.1104,29141,False,True,False,1958616,71213,0.0350832508551213,0.2537,2537,0.00039416633819471815,10022,-1
0.07999999999999999,3,19800,816,4.1232,16231,False,True,False,1993150,62043,0.03018840566311777,0.2552,2552,0.00039184952978056425,10077,-1
0.07999999999999999,4,19800,794,4.1188,12741,False,True,False,1944624,90043,0.04425441607889645,0.2554,2554,0.00039154267815191856,10095,-1
0.07999999999999999,5,19800,753,4.1106,19318,False,True,False,1927687,68655,0.034390400041676226,0.2541,2541,0.0003935458480913026,10045,-1
0.07999999999999999,6,19800,797,4.1194,13747,False,True,False,2000231,79677,0.03830794438984801,0.2533,2533,0.00039478878799842083,10009,-1
0.07999999999999999,7,19800,774,4.1148,28152,False,True,False,2040781,79130,0.03732703872945609,0.2506,2506,0.0003990422984836393,9904,-1
0.07999999999999999,8,19800,825,4.125,20108,False,True,False,1947677,90458,0.0443827322527703,0.2569,2569,0.00038925652004671076,10146,-1
0.07999999999999999,9,19800,821,4.1242,22081,False,True,False,2067815,71641,0.03348561503484998,0.2547,2547,0.00039261876717707107,10073,-1
0.09999999999999999,0,19800,995,4.159,33633,False,True,False,1996385,111520,0.05290561007256019,0.249,2490,0.00040160642570281126,9840,-1
0.09999999999999999,1,19800,978,4.1556,12434,False,True,False,1984513,91766,0.04419733571451621,0.251,2510,0.00039840637450199205,9931,-1
0.09999999999999999,2,19800,1031,4.1662,10981,False,True,False,1930194,107523,0.052766404755910656,0.2541,2541,0.0003935458480913026,10034,-1
0.09999999999999999,3,19800,984,4.1568,16948,False,True,False,1980174,86572,0.04188806945797887,0.255,2550,0.000392156862745098,10075,-1
0.09999999999999999,4,19800,985,4.157,17803,False,True,False,2116866,83078,0.0377636885302535,0.2482,2482,0.00040290088638195,9812,-1
0.09999999999999999,5,19800,953,4.1506,14093,False,True,False,1972353,91837,0.044490574995518825,0.2525,2525,0.00039603960396039607,9986,-1
0.09999999999999999,6,19800,1013,4.1626,29111,False,True,False,1998964,111770,0.05295314331412675,0.2545,2545,0.0003929273084479371,10053,-1
0.09999999999999999,7,19800,1014,4.1628,19798,False,True,False,2012511,100153,0.04740602386370951,0.2477,2477,0.0004037141703673799,9790,-1
